date,kind,direction,contact,number,duration_seconds
2026-05-04T18:30:00Z,text,out,Maya,+15557001001,
2026-05-04T18:42:00Z,text,in,Maya,+15557001001,
2026-05-06T20:10:00Z,call,out,Maya,+15557001001,840
2026-05-11T09:05:00Z,text,in,Maya,+15557001001,
2026-05-13T19:00:00Z,text,out,Maya,+15557001001,
2026-05-18T21:15:00Z,call,in,Maya,+15557001001,1260
2026-05-25T12:00:00Z,text,out,Maya,+15557001001,
2026-06-01T17:45:00Z,text,out,Maya,+15557001001,
2026-06-08T18:00:00Z,call,out,Maya,+15557001001,600
2026-06-15T19:30:00Z,text,in,Maya,+15557001001,
2026-06-13T19:00:00Z,meet,,Maya,+15557001001,
2026-05-24T12:30:00Z,meet,,Grandpa,+15557002002,
2026-05-05T08:00:00Z,call,out,Grandpa,+15557002002,1500
2026-05-12T08:05:00Z,call,out,Grandpa,+15557002002,1320
2026-05-19T08:00:00Z,call,missed,Grandpa,+15557002002,
2026-05-19T10:30:00Z,call,in,Grandpa,+15557002002,1680
2026-06-02T08:00:00Z,call,out,Grandpa,+15557002002,1440
2026-06-16T08:10:00Z,call,out,Grandpa,+15557002002,1200
